Name,Size,Timings,Owner,Rent,Location,City,State,Date,Time,Item,Item_Description,Packed,Quantity,Sold,UnitPrice,Profit
Charita's Pan Shop,88,8:00 - 22:00,Vedhika Kumar,5962,"H.No. 729
Chander Zila",Howrah,West Bengal,2025-07-23,05:22:45,Lighters,Local,Yes,46,37,2.16,28.77
Charita's Pan Shop,88,8:00 - 22:00,Vedhika Kumar,5962,"H.No. 729
Chander Zila",Howrah,West Bengal,2025-07-31,01:09:38,Jelly,Local,No,20,14,3.36,5.22
Charita's Pan Shop,88,8:00 - 22:00,Vedhika Kumar,5962,"H.No. 729
Chander Zila",Howrah,West Bengal,2025-07-11,09:12:03,Soda,International,Yes,75,17,25.77,49.51
Charita's Pan Shop,88,8:00 - 22:00,Vedhika Kumar,5962,"H.No. 729
Chander Zila",Howrah,West Bengal,2025-07-28,07:09:20,Biscuits,International,Yes,57,37,4.28,41.52
Charita's Pan Shop,88,8:00 - 22:00,Vedhika Kumar,5962,"H.No. 729
Chander Zila",Howrah,West Bengal,2025-07-30,09:40:43,Biscuits,International,Yes,35,26,9.13,58.62
Charita's Pan Shop,88,8:00 - 22:00,Vedhika Kumar,5962,"H.No. 729
Chander Zila",Howrah,West Bengal,2025-08-01,06:00:21,Jelly,Local,No,17,17,40.01,269.77
Charita's Pan Shop,88,8:00 - 22:00,Vedhika Kumar,5962,"H.No. 729
Chander Zila",Howrah,West Bengal,2025-07-19,07:30:21,Peanuts,Local,No,56,48,4.32,34.32
Charita's Pan Shop,88,8:00 - 22:00,Vedhika Kumar,5962,"H.No. 729
Chander Zila",Howrah,West Bengal,2025-07-17,23:31:39,Cigarettes,International,Yes,75,42,31.93,245.02
Charita's Pan Shop,88,8:00 - 22:00,Vedhika Kumar,5962,"H.No. 729
Chander Zila",Howrah,West Bengal,2025-07-14,14:57:27,Sweets,Local,No,31,15,30.74,125.29
Charita's Pan Shop,88,8:00 - 22:00,Vedhika Kumar,5962,"H.No. 729
Chander Zila",Howrah,West Bengal,2025-07-23,06:49:32,Sweets,Local,No,51,51,13.27,171.14
Charita's Pan Shop,88,8:00 - 22:00,Vedhika Kumar,5962,"H.No. 729
Chander Zila",Howrah,West Bengal,2025-07-29,19:31:47,Biscuits,International,Yes,81,28,30.66,134.82
Charita's Pan Shop,88,8:00 - 22:00,Vedhika Kumar,5962,"H.No. 729
Chander Zila",Howrah,West Bengal,2025-08-07,11:11:01,Chips,Domestic,Yes,100,59,21.17,423.81
Charita's Pan Shop,88,8:00 - 22:00,Vedhika Kumar,5962,"H.No. 729
Chander Zila",Howrah,West Bengal,2025-07-23,15:48:42,Sweets,Local,No,40,15,30.06,167.65
Charita's Pan Shop,88,8:00 - 22:00,Vedhika Kumar,5962,"H.No. 729
Chander Zila",Howrah,West Bengal,2025-08-08,21:49:18,Jelly,Local,No,77,67,3.84,41.37
Charita's Pan Shop,88,8:00 - 22:00,Vedhika Kumar,5962,"H.No. 729
Chander Zila",Howrah,West Bengal,2025-07-17,02:12:56,Sweets,Local,No,97,20,43.07,88.81
Charita's Pan Shop,88,8:00 - 22:00,Vedhika Kumar,5962,"H.No. 729
Chander Zila",Howrah,West Bengal,2025-07-19,12:39:28,Jelly,Local,No,15,1,34.25,6.67
Charita's Pan Shop,88,8:00 - 22:00,Vedhika Kumar,5962,"H.No. 729
Chander Zila",Howrah,West Bengal,2025-07-13,15:04:09,Chocolates,Domestic,Yes,39,33,40.11,340.11
Maanas's Pan Shop,93,10:00 - 20:00,Ishani Pant,2797,"86/36
Iyer Zila",Mumbai,Maharashtra,2025-08-01,23:42:52,Soanpapdi,Local,No,54,6,10.11,20.2
Maanas's Pan Shop,93,10:00 - 20:00,Ishani Pant,2797,"86/36
Iyer Zila",Mumbai,Maharashtra,2025-08-04,04:16:49,Biscuits,Domestic,Yes,93,42,11.3,135.03
Maanas's Pan Shop,93,10:00 - 20:00,Ishani Pant,2797,"86/36
Iyer Zila",Mumbai,Maharashtra,2025-07-25,15:44:13,Biscuits,Domestic,Yes,39,2,59.62,19.25
Maanas's Pan Shop,93,10:00 - 20:00,Ishani Pant,2797,"86/36
Iyer Zila",Mumbai,Maharashtra,2025-07-24,13:33:49,Lighters,Local,Yes,13,13,6.61,17.84
Maanas's Pan Shop,93,10:00 - 20:00,Ishani Pant,2797,"86/36
Iyer Zila",Mumbai,Maharashtra,2025-07-12,21:37:55,Biscuits,International,Yes,35,33,38.18,169.77
Maanas's Pan Shop,93,10:00 - 20:00,Ishani Pant,2797,"86/36
Iyer Zila",Mumbai,Maharashtra,2025-07-20,12:53:23,Soda,International,Yes,61,33,14.31,168.42
Maanas's Pan Shop,93,10:00 - 20:00,Ishani Pant,2797,"86/36
Iyer Zila",Mumbai,Maharashtra,2025-07-13,13:52:12,Peanuts,Local,No,44,13,18.27,66.69
Maanas's Pan Shop,93,10:00 - 20:00,Ishani Pant,2797,"86/36
Iyer Zila",Mumbai,Maharashtra,2025-07-11,08:21:31,Soda,Domestic,Yes,6,2,26.88,20.57
Maanas's Pan Shop,93,10:00 - 20:00,Ishani Pant,2797,"86/36
Iyer Zila",Mumbai,Maharashtra,2025-07-29,16:35:17,Cigarettes,Domestic,Yes,61,3,30.96,17.9
Maanas's Pan Shop,93,10:00 - 20:00,Ishani Pant,2797,"86/36
Iyer Zila",Mumbai,Maharashtra,2025-07-30,06:54:20,Peanuts,Local,No,51,2,3.73,1.58
Maanas's Pan Shop,93,10:00 - 20:00,Ishani Pant,2797,"86/36
Iyer Zila",Mumbai,Maharashtra,2025-07-21,23:31:44,Chocolates,Domestic,Yes,53,13,20.28,86.69
Maanas's Pan Shop,93,10:00 - 20:00,Ishani Pant,2797,"86/36
Iyer Zila",Mumbai,Maharashtra,2025-08-05,17:29:54,Soda,Domestic,Yes,18,7,46.75,122.37
Maanas's Pan Shop,93,10:00 - 20:00,Ishani Pant,2797,"86/36
Iyer Zila",Mumbai,Maharashtra,2025-07-11,06:01:38,Lighters,Local,Yes,84,30,16.6,143.19
Maanas's Pan Shop,93,10:00 - 20:00,Ishani Pant,2797,"86/36
Iyer Zila",Mumbai,Maharashtra,2025-07-30,04:17:59,Chips,Domestic,Yes,54,14,29.62,77.47
Maanas's Pan Shop,93,10:00 - 20:00,Ishani Pant,2797,"86/36
Iyer Zila",Mumbai,Maharashtra,2025-08-04,05:02:24,Mysorepak,Local,No,22,5,19.42,17.25
Maanas's Pan Shop,93,10:00 - 20:00,Ishani Pant,2797,"86/36
Iyer Zila",Mumbai,Maharashtra,2025-07-19,18:52:23,Sweets,Local,No,23,22,42.5,278.59
Maanas's Pan Shop,93,10:00 - 20:00,Ishani Pant,2797,"86/36
Iyer Zila",Mumbai,Maharashtra,2025-08-07,09:07:39,Chewing Gum,International,Yes,22,4,29.98,25.0
Maanas's Pan Shop,93,10:00 - 20:00,Ishani Pant,2797,"86/36
Iyer Zila",Mumbai,Maharashtra,2025-07-28,03:59:22,Chewing Gum,International,Yes,20,17,31.45,176.33
Maanas's Pan Shop,93,10:00 - 20:00,Ishani Pant,2797,"86/36
Iyer Zila",Mumbai,Maharashtra,2025-07-26,16:32:37,Soanpapdi,Local,No,40,5,45.3,55.4
Maanas's Pan Shop,93,10:00 - 20:00,Ishani Pant,2797,"86/36
Iyer Zila",Mumbai,Maharashtra,2025-07-11,01:06:16,Chips,International,Yes,69,17,28.67,180.25
Maanas's Pan Shop,93,10:00 - 20:00,Ishani Pant,2797,"86/36
Iyer Zila",Mumbai,Maharashtra,2025-07-28,01:20:39,Match Boxes,Local,No,8,3,59.05,65.98
Isaac's Pan Shop,87,10:00 - 22:00,Gagan Konda,4654,"H.No. 940
Dada",Lucknow,Uttar Pradesh,2025-07-24,08:33:16,Peanuts,Local,No,63,47,5.68,76.53
Isaac's Pan Shop,87,10:00 - 22:00,Gagan Konda,4654,"H.No. 940
Dada",Lucknow,Uttar Pradesh,2025-08-09,13:37:29,Soanpapdi,Local,No,89,7,15.09,30.89
Isaac's Pan Shop,87,10:00 - 22:00,Gagan Konda,4654,"H.No. 940
Dada",Lucknow,Uttar Pradesh,2025-07-12,03:39:23,Chips,International,Yes,66,16,17.82,44.4
Isaac's Pan Shop,87,10:00 - 22:00,Gagan Konda,4654,"H.No. 940
Dada",Lucknow,Uttar Pradesh,2025-07-12,05:38:44,Chocolates,International,Yes,81,23,14.64,65.74
Isaac's Pan Shop,87,10:00 - 22:00,Gagan Konda,4654,"H.No. 940
Dada",Lucknow,Uttar Pradesh,2025-08-05,09:11:11,Biscuits,International,Yes,31,25,39.46,241.08
Isaac's Pan Shop,87,10:00 - 22:00,Gagan Konda,4654,"H.No. 940
Dada",Lucknow,Uttar Pradesh,2025-07-22,03:46:01,Match Boxes,Local,No,22,21,56.29,279.8
Isaac's Pan Shop,87,10:00 - 22:00,Gagan Konda,4654,"H.No. 940
Dada",Lucknow,Uttar Pradesh,2025-07-31,06:52:17,Sweets,Local,No,85,74,54.92,1060.07
Isaac's Pan Shop,87,10:00 - 22:00,Gagan Konda,4654,"H.No. 940
Dada",Lucknow,Uttar Pradesh,2025-07-28,23:24:41,Jelly,Local,No,20,11,50.82,110.39
Isaac's Pan Shop,87,10:00 - 22:00,Gagan Konda,4654,"H.No. 940
Dada",Lucknow,Uttar Pradesh,2025-07-25,05:54:17,Cigarettes,Domestic,Yes,14,10,5.11,14.07
Isaac's Pan Shop,87,10:00 - 22:00,Gagan Konda,4654,"H.No. 940
Dada",Lucknow,Uttar Pradesh,2025-07-30,23:49:14,Cigarettes,Domestic,Yes,92,71,2.91,61.99
Isaac's Pan Shop,87,10:00 - 22:00,Gagan Konda,4654,"H.No. 940
Dada",Lucknow,Uttar Pradesh,2025-08-09,02:49:25,Chocolates,International,Yes,29,26,4.5,14.41
Isaac's Pan Shop,87,10:00 - 22:00,Gagan Konda,4654,"H.No. 940
Dada",Lucknow,Uttar Pradesh,2025-07-25,22:09:55,Mysorepak,Local,No,95,69,32.14,830.82
Isaac's Pan Shop,87,10:00 - 22:00,Gagan Konda,4654,"H.No. 940
Dada",Lucknow,Uttar Pradesh,2025-07-12,03:01:35,Drinks,Domestic,Yes,16,8,9.41,11.6
Isaac's Pan Shop,87,10:00 - 22:00,Gagan Konda,4654,"H.No. 940
Dada",Lucknow,Uttar Pradesh,2025-08-08,14:12:06,Match Boxes,Local,No,99,19,33.58,151.06
Isaac's Pan Shop,87,10:00 - 22:00,Gagan Konda,4654,"H.No. 940
Dada",Lucknow,Uttar Pradesh,2025-07-22,03:47:15,Mysorepak,Local,No,99,59,36.4,559.95
Isaac's Pan Shop,87,10:00 - 22:00,Gagan Konda,4654,"H.No. 940
Dada",Lucknow,Uttar Pradesh,2025-07-26,02:43:23,Chips,Domestic,Yes,85,21,31.4,145.34
Isaac's Pan Shop,87,10:00 - 22:00,Gagan Konda,4654,"H.No. 940
Dada",Lucknow,Uttar Pradesh,2025-07-15,21:17:22,Lighters,Local,Yes,29,20,16.07,53.77
Isaac's Pan Shop,87,10:00 - 22:00,Gagan Konda,4654,"H.No. 940
Dada",Lucknow,Uttar Pradesh,2025-07-23,06:48:27,Drinks,International,Yes,82,64,10.09,66.88
Isaac's Pan Shop,87,10:00 - 22:00,Gagan Konda,4654,"H.No. 940
Dada",Lucknow,Uttar Pradesh,2025-08-04,05:53:14,Lighters,Local,Yes,60,40,54.48,280.79
Isaac's Pan Shop,87,10:00 - 22:00,Gagan Konda,4654,"H.No. 940
Dada",Lucknow,Uttar Pradesh,2025-08-02,19:15:31,Peanuts,Local,No,40,8,28.2,31.2
Isaac's Pan Shop,87,10:00 - 22:00,Gagan Konda,4654,"H.No. 940
Dada",Lucknow,Uttar Pradesh,2025-07-26,15:39:17,Lighters,Local,Yes,83,67,53.41,1024.33
Isaac's Pan Shop,87,10:00 - 22:00,Gagan Konda,4654,"H.No. 940
Dada",Lucknow,Uttar Pradesh,2025-08-05,14:17:31,Peanuts,Local,No,28,10,50.98,167.18
Isaac's Pan Shop,87,10:00 - 22:00,Gagan Konda,4654,"H.No. 940
Dada",Lucknow,Uttar Pradesh,2025-07-30,13:15:27,Drinks,International,Yes,53,5,41.91,73.78
Isaac's Pan Shop,87,10:00 - 22:00,Gagan Konda,4654,"H.No. 940
Dada",Lucknow,Uttar Pradesh,2025-07-13,21:27:47,Match Boxes,Local,No,15,8,57.85,138.15
Isaac's Pan Shop,87,10:00 - 22:00,Gagan Konda,4654,"H.No. 940
Dada",Lucknow,Uttar Pradesh,2025-07-23,06:00:15,Biscuits,International,Yes,93,35,45.83,609.69
Isaac's Pan Shop,87,10:00 - 22:00,Gagan Konda,4654,"H.No. 940
Dada",Lucknow,Uttar Pradesh,2025-07-31,12:31:19,Chewing Gum,International,Yes,38,2,39.86,19.58
Isaac's Pan Shop,87,10:00 - 22:00,Gagan Konda,4654,"H.No. 940
Dada",Lucknow,Uttar Pradesh,2025-07-18,18:24:45,Chips,Domestic,Yes,30,25,9.51,33.16
Isaac's Pan Shop,87,10:00 - 22:00,Gagan Konda,4654,"H.No. 940
Dada",Lucknow,Uttar Pradesh,2025-07-14,23:28:37,Lighters,Local,Yes,34,7,31.67,86.5
Isaac's Pan Shop,87,10:00 - 22:00,Gagan Konda,4654,"H.No. 940
Dada",Lucknow,Uttar Pradesh,2025-07-23,10:38:13,Chocolates,Domestic,Yes,100,53,39.25,236.14
Isaac's Pan Shop,87,10:00 - 22:00,Gagan Konda,4654,"H.No. 940
Dada",Lucknow,Uttar Pradesh,2025-07-19,05:52:44,Drinks,International,Yes,7,2,17.46,8.65
Isaac's Pan Shop,87,10:00 - 22:00,Gagan Konda,4654,"H.No. 940
Dada",Lucknow,Uttar Pradesh,2025-08-03,22:07:26,Match Boxes,Local,No,69,32,49.41,336.07
Isaac's Pan Shop,87,10:00 - 22:00,Gagan Konda,4654,"H.No. 940
Dada",Lucknow,Uttar Pradesh,2025-07-15,14:48:35,Drinks,International,Yes,78,26,21.07,130.98
Isaac's Pan Shop,87,10:00 - 22:00,Gagan Konda,4654,"H.No. 940
Dada",Lucknow,Uttar Pradesh,2025-07-22,11:00:18,Chips,Domestic,Yes,72,14,47.7,114.98
Isaac's Pan Shop,87,10:00 - 22:00,Gagan Konda,4654,"H.No. 940
Dada",Lucknow,Uttar Pradesh,2025-07-13,08:29:25,Drinks,Domestic,Yes,70,33,46.85,332.17
Isaac's Pan Shop,87,10:00 - 22:00,Gagan Konda,4654,"H.No. 940
Dada",Lucknow,Uttar Pradesh,2025-07-17,13:48:41,Sweets,Local,No,55,19,24.82,148.59
Isaac's Pan Shop,87,10:00 - 22:00,Gagan Konda,4654,"H.No. 940
Dada",Lucknow,Uttar Pradesh,2025-07-24,19:40:09,Soda,Domestic,Yes,24,24,53.98,188.66
Isaac's Pan Shop,87,10:00 - 22:00,Gagan Konda,4654,"H.No. 940
Dada",Lucknow,Uttar Pradesh,2025-07-13,15:45:48,Soda,Domestic,Yes,31,10,18.62,20.77
Isaac's Pan Shop,87,10:00 - 22:00,Gagan Konda,4654,"H.No. 940
Dada",Lucknow,Uttar Pradesh,2025-07-26,15:32:42,Cigarettes,International,Yes,5,3,25.12,9.93
Isaac's Pan Shop,87,10:00 - 22:00,Gagan Konda,4654,"H.No. 940
Dada",Lucknow,Uttar Pradesh,2025-07-30,05:53:23,Soda,Domestic,Yes,44,17,40.54,176.0
Yagnesh's Pan Shop,81,8:00 - 23:00,Nitara Goel,9203,"46/27
Cherian Zila",New Delhi,Delhi,2025-07-20,06:41:44,Soanpapdi,Local,No,23,3,10.28,11.86
Yagnesh's Pan Shop,81,8:00 - 23:00,Nitara Goel,9203,"46/27
Cherian Zila",New Delhi,Delhi,2025-07-20,20:32:54,Chocolates,Domestic,Yes,90,55,31.76,584.89
Yagnesh's Pan Shop,81,8:00 - 23:00,Nitara Goel,9203,"46/27
Cherian Zila",New Delhi,Delhi,2025-08-02,18:28:56,Chips,International,Yes,42,3,34.55,16.1
Yagnesh's Pan Shop,81,8:00 - 23:00,Nitara Goel,9203,"46/27
Cherian Zila",New Delhi,Delhi,2025-08-08,06:44:03,Biscuits,International,Yes,59,3,23.82,19.75
Yagnesh's Pan Shop,81,8:00 - 23:00,Nitara Goel,9203,"46/27
Cherian Zila",New Delhi,Delhi,2025-07-18,01:05:45,Lighters,Local,Yes,60,32,3.36,34.32
Yagnesh's Pan Shop,81,8:00 - 23:00,Nitara Goel,9203,"46/27
Cherian Zila",New Delhi,Delhi,2025-08-04,12:01:57,Jelly,Local,No,67,36,31.05,324.94
Yagnesh's Pan Shop,81,8:00 - 23:00,Nitara Goel,9203,"46/27
Cherian Zila",New Delhi,Delhi,2025-07-27,10:32:21,Chewing Gum,Domestic,Yes,77,67,8.97,190.99
Yagnesh's Pan Shop,81,8:00 - 23:00,Nitara Goel,9203,"46/27
Cherian Zila",New Delhi,Delhi,2025-08-04,17:49:54,Biscuits,Domestic,Yes,97,13,32.42,163.0
Yagnesh's Pan Shop,81,8:00 - 23:00,Nitara Goel,9203,"46/27
Cherian Zila",New Delhi,Delhi,2025-07-31,06:02:51,Biscuits,International,Yes,48,33,30.14,327.67
Yagnesh's Pan Shop,81,8:00 - 23:00,Nitara Goel,9203,"46/27
Cherian Zila",New Delhi,Delhi,2025-07-20,14:13:59,Chewing Gum,Domestic,Yes,76,47,50.44,465.19
Yagnesh's Pan Shop,81,8:00 - 23:00,Nitara Goel,9203,"46/27
Cherian Zila",New Delhi,Delhi,2025-07-29,22:07:35,Soda,Domestic,Yes,85,70,8.37,124.57
Yagnesh's Pan Shop,81,8:00 - 23:00,Nitara Goel,9203,"46/27
Cherian Zila",New Delhi,Delhi,2025-07-29,20:11:20,Sweets,Local,No,90,60,14.55,105.38
Yagnesh's Pan Shop,81,8:00 - 23:00,Nitara Goel,9203,"46/27
Cherian Zila",New Delhi,Delhi,2025-07-31,21:57:33,Soda,International,Yes,71,31,19.81,102.66
