Name,Date,Time,Item,Item_Description,Packed,Quantity,Sold,UnitPrice,Profit
Samarth's Pan Shop,2025-07-16,19:18:41,Drinks,International,Yes,65,20,2.39,16.2
Sudiksha's Pan Shop,2025-08-06,22:24:24,Cigarettes,Domestic,Yes,21,7,9.22,8.6
Advaith's Pan Shop,2025-08-09,21:42:36,Cigarettes,International,Yes,54,39,43.95,608.03
Lakshmi's Pan Shop,2025-08-08,11:26:57,Lighters,Local,Yes,12,1,21.72,4.17
Ayushman's Pan Shop,2025-07-24,19:27:10,Soda,International,Yes,38,6,31.02,32.63
Siya's Pan Shop,2025-07-31,16:29:13,Chips,Domestic,Yes,16,9,8.2,28.51
Harsh's Pan Shop,2025-07-28,09:06:40,Match Boxes,Local,No,87,63,23.21,515.2
Tanveer's Pan Shop,2025-07-22,13:22:20,Chips,International,Yes,92,62,58.22,574.9
Robert's Pan Shop,2025-07-15,04:44:33,Soda,International,Yes,88,11,17.5,56.19
Upma's Pan Shop,2025-07-19,10:37:57,Soda,Domestic,Yes,87,32,59.36,347.06
Wakeeta's Pan Shop,2025-08-05,09:49:08,Mysorepak,Local,No,15,13,10.65,24.5
Damyanti's Pan Shop,2025-07-18,10:39:43,Chocolates,Domestic,Yes,97,4,18.7,17.64
Raagini's Pan Shop,2025-07-24,12:37:28,Peanuts,Local,No,99,24,15.35,111.93
Krish's Pan Shop,2025-08-06,12:09:42,Chips,Domestic,Yes,24,20,28.9,198.29
Bakhshi's Pan Shop,2025-07-26,05:32:20,Cigarettes,International,Yes,90,55,18.92,384.56
Deepa's Pan Shop,2025-07-30,14:34:04,Jelly,Local,No,17,14,48.23,121.52
Guneet's Pan Shop,2025-08-02,04:49:13,Cigarettes,Domestic,Yes,9,4,35.63,27.28
Ekanta's Pan Shop,2025-08-07,15:00:37,Jelly,Local,No,66,31,17.55,113.81
Edhitha's Pan Shop,2025-07-21,00:00:00,Peanuts,Local,No,81,54,37.39,754.9
Yamini's Pan Shop,2025-07-23,09:12:11,Soda,International,Yes,47,16,31.8,124.02
Vaishnavi's Pan Shop,2025-07-12,14:10:16,Soanpapdi,Local,No,74,5,23.23,41.18
Aarnav's Pan Shop,2025-07-20,11:15:55,Sweets,Local,No,71,42,36.56,444.31
Devika's Pan Shop,2025-08-05,06:25:35,Lighters,Local,Yes,65,42,53.04,413.82
Rohan's Pan Shop,2025-08-05,19:02:09,Drinks,Domestic,Yes,70,30,22.2,217.67
Qabil's Pan Shop,2025-07-19,15:51:30,Match Boxes,Local,No,78,72,9.03,204.42
Pranav's Pan Shop,2025-07-29,12:35:32,Cigarettes,Domestic,Yes,68,25,56.41,393.79
Umang's Pan Shop,2025-07-11,14:29:21,Jelly,Local,No,33,25,24.86,96.77
Bhavna's Pan Shop,2025-07-25,16:26:27,Biscuits,Domestic,Yes,67,29,8.4,71.2
Rushil's Pan Shop,2025-07-16,07:54:17,Drinks,International,Yes,88,38,58.72,553.62
Lavanya's Pan Shop,2025-07-11,15:55:36,Chocolates,International,Yes,26,15,49.29,87.88
Nathan's Pan Shop,2025-07-24,16:46:42,Chips,Domestic,Yes,29,29,20.39,103.44
Vrinda's Pan Shop,2025-07-14,19:52:43,Soda,Domestic,Yes,65,24,24.78,71.86
Samar's Pan Shop,2025-07-21,03:48:33,Jelly,Local,No,78,27,58.06,502.0
Faraj's Pan Shop,2025-07-13,22:38:20,Match Boxes,Local,No,58,54,23.79,397.81
Chameli's Pan Shop,2025-07-11,00:03:09,Biscuits,International,Yes,12,11,37.12,69.51
Tejas's Pan Shop,2025-08-02,12:48:56,Sweets,Local,No,40,29,58.47,579.5
Isaiah's Pan Shop,2025-07-18,07:01:00,Drinks,International,Yes,31,30,48.55,480.35
Krishna's Pan Shop,2025-07-27,05:12:01,Peanuts,Local,No,98,21,5.76,18.38
Mekhala's Pan Shop,2025-07-19,03:50:00,Cigarettes,International,Yes,26,7,43.25,30.29
Bimala's Pan Shop,2025-08-05,19:31:31,Soda,Domestic,Yes,52,23,56.75,441.48
Bahadurjit's Pan Shop,2025-07-18,10:58:40,Chewing Gum,International,Yes,82,32,19.37,115.96
Qabil's Pan Shop,2025-08-07,06:35:36,Peanuts,Local,No,69,62,56.46,662.55
Vasudha's Pan Shop,2025-07-20,23:35:36,Soanpapdi,Local,No,57,52,26.35,520.58
Wishi's Pan Shop,2025-07-21,22:31:04,Drinks,Domestic,Yes,84,39,49.66,266.17
Isaiah's Pan Shop,2025-08-01,05:39:57,Chocolates,Domestic,Yes,76,66,33.71,301.59
Jeremiah's Pan Shop,2025-07-22,02:03:47,Soanpapdi,Local,No,11,3,24.75,16.04
Hredhaan's Pan Shop,2025-07-11,15:03:49,Biscuits,Domestic,Yes,33,22,16.71,55.59
Orinder's Pan Shop,2025-07-19,09:34:07,Drinks,Domestic,Yes,28,14,54.15,301.0
Yashoda's Pan Shop,2025-08-07,17:29:21,Soda,International,Yes,74,43,4.76,38.88
Janya's Pan Shop,2025-07-31,02:19:20,Chocolates,International,Yes,64,29,14.48,133.85
Balhaar's Pan Shop,2025-07-28,14:12:14,Chewing Gum,Domestic,Yes,28,27,45.52,309.16
Indira's Pan Shop,2025-08-06,23:26:32,Mysorepak,Local,No,61,55,47.01,673.23
Nandini's Pan Shop,2025-08-05,09:42:47,Jelly,Local,No,62,8,13.7,37.59
Manya's Pan Shop,2025-08-01,12:53:28,Cigarettes,International,Yes,15,13,53.49,114.21
Ridhi's Pan Shop,2025-07-24,17:39:25,Soanpapdi,Local,No,75,56,44.48,868.92
Zilmil's Pan Shop,2025-08-01,19:50:19,Match Boxes,Local,No,10,9,9.33,18.82
Ekbal's Pan Shop,2025-07-26,08:42:15,Chips,International,Yes,83,67,25.9,465.48
Qabil's Pan Shop,2025-07-18,18:16:39,Chocolates,International,Yes,48,41,11.8,168.05
Tamanna's Pan Shop,2025-07-11,16:48:14,Soanpapdi,Local,No,43,29,24.56,274.29
Banjeet's Pan Shop,2025-07-27,00:18:17,Soanpapdi,Local,No,8,3,42.5,45.66
Raagini's Pan Shop,2025-07-24,09:55:13,Chips,International,Yes,83,83,31.11,982.7
Nandini's Pan Shop,2025-07-20,23:55:24,Cigarettes,Domestic,Yes,28,4,18.02,12.38
Ladli's Pan Shop,2025-08-02,21:26:51,Lighters,Local,Yes,85,70,42.61,1132.73
Kiaan's Pan Shop,2025-07-25,02:35:26,Chips,Domestic,Yes,50,7,43.39,110.72
Harini's Pan Shop,2025-07-15,16:24:57,Chocolates,International,Yes,65,9,31.98,110.33
Rehaan's Pan Shop,2025-07-24,03:15:40,Biscuits,Domestic,Yes,16,9,9.4,18.04
Edhitha's Pan Shop,2025-07-16,07:22:33,Mysorepak,Local,No,84,16,29.57,54.79
Lakshmi's Pan Shop,2025-08-06,01:17:52,Biscuits,Domestic,Yes,56,10,55.62,162.31
Xavier's Pan Shop,2025-07-26,14:26:29,Jelly,Local,No,85,40,52.74,712.25
Turvi's Pan Shop,2025-07-31,22:40:42,Sweets,Local,No,76,71,52.28,930.14
Rehaan's Pan Shop,2025-07-22,19:48:15,Cigarettes,International,Yes,84,1,29.64,7.84
Vyanjana's Pan Shop,2025-08-01,03:07:33,Soda,Domestic,Yes,90,23,50.83,458.49
Tamanna's Pan Shop,2025-07-20,10:59:53,Chips,Domestic,Yes,10,9,29.5,48.98
Advika's Pan Shop,2025-07-12,10:21:33,Peanuts,Local,No,39,27,51.72,203.78
Yashica's Pan Shop,2025-07-24,19:12:24,Soanpapdi,Local,No,72,57,52.31,1175.5
Hemani's Pan Shop,2025-07-29,00:40:17,Peanuts,Local,No,18,3,9.36,7.77
Zayyan's Pan Shop,2025-07-14,13:02:02,Match Boxes,Local,No,24,2,55.6,30.21
Sara's Pan Shop,2025-07-11,18:53:15,Biscuits,Domestic,Yes,80,47,48.0,436.11
Siya's Pan Shop,2025-07-11,19:49:40,Chips,International,Yes,64,42,47.2,612.38
Jai's Pan Shop,2025-08-01,06:19:04,Mysorepak,Local,No,77,67,52.05,922.33
Tamanna's Pan Shop,2025-07-25,12:24:52,Sweets,Local,No,32,17,58.98,332.48
Advika's Pan Shop,2025-08-04,06:31:33,Chips,Domestic,Yes,8,7,16.73,41.37
Maanas's Pan Shop,2025-08-01,23:42:52,Soanpapdi,Local,No,54,6,10.11,20.2
Ridhi's Pan Shop,2025-07-27,12:44:43,Sweets,Local,No,94,71,39.06,444.46
Jasmit's Pan Shop,2025-07-27,18:33:54,Soda,Domestic,Yes,45,16,58.56,342.93
Ayushman's Pan Shop,2025-07-28,10:42:42,Drinks,International,Yes,70,62,15.73,104.32
Lakshit's Pan Shop,2025-07-20,06:39:02,Chewing Gum,Domestic,Yes,95,19,49.27,180.48
Faras's Pan Shop,2025-07-16,22:30:55,Match Boxes,Local,No,62,42,20.79,124.51
Udant's Pan Shop,2025-08-01,01:03:49,Chewing Gum,Domestic,Yes,68,25,42.35,146.02
Andrew's Pan Shop,2025-07-27,19:16:38,Chocolates,International,Yes,24,16,52.43,197.18
Ganga's Pan Shop,2025-07-12,14:57:04,Chips,International,Yes,8,7,14.97,39.02
Banjeet's Pan Shop,2025-07-11,13:19:27,Biscuits,Domestic,Yes,11,10,33.22,114.41
Maya's Pan Shop,2025-07-24,02:30:11,Drinks,International,Yes,37,11,26.41,61.02
Warhi's Pan Shop,2025-08-03,08:36:55,Soanpapdi,Local,No,9,2,49.31,34.73
Owen's Pan Shop,2025-07-18,05:45:17,Jelly,Local,No,27,11,37.42,52.57
Aarnav's Pan Shop,2025-08-08,01:36:55,Biscuits,Domestic,Yes,12,6,31.47,62.06
Damini's Pan Shop,2025-08-01,23:33:00,Biscuits,International,Yes,81,21,50.98,393.98
Henry's Pan Shop,2025-07-17,06:36:17,Chips,International,Yes,18,13,39.27,121.79
Robert's Pan Shop,2025-07-17,20:13:19,Sweets,Local,No,36,31,34.91,216.26
Zehaan's Pan Shop,2025-08-06,08:12:11,Mysorepak,Local,No,29,4,40.74,26.02
Vincent's Pan Shop,2025-07-17,05:37:03,Match Boxes,Local,No,94,9,37.02,60.17
Ishani's Pan Shop,2025-07-27,10:20:11,Chips,International,Yes,37,34,25.2,274.06
Qabil's Pan Shop,2025-07-22,00:39:40,Mysorepak,Local,No,100,58,48.86,1070.73
Vyanjana's Pan Shop,2025-07-23,10:07:06,Jelly,Local,No,34,20,49.22,339.59
Yamini's Pan Shop,2025-07-20,13:42:18,Mysorepak,Local,No,66,45,46.16,464.13
Dalbir's Pan Shop,2025-07-22,09:53:16,Sweets,Local,No,76,9,28.93,97.34
Lakshmi's Pan Shop,2025-07-27,13:26:18,Biscuits,Domestic,Yes,100,53,57.72,438.4
Jairaj's Pan Shop,2025-08-08,13:23:11,Biscuits,International,Yes,31,14,55.89,92.09
Nathaniel's Pan Shop,2025-07-13,20:57:19,Chewing Gum,Domestic,Yes,44,12,9.87,15.49
Zilmil's Pan Shop,2025-07-13,19:53:21,Chewing Gum,Domestic,Yes,89,1,38.91,10.45
Ekavir's Pan Shop,2025-08-04,12:12:14,Chewing Gum,International,Yes,96,28,53.1,178.58
William's Pan Shop,2025-08-03,16:29:09,Biscuits,Domestic,Yes,23,12,41.69,118.22
Lakshmi's Pan Shop,2025-08-07,00:07:34,Mysorepak,Local,No,18,15,47.42,227.93
Yagnesh's Pan Shop,2025-07-20,06:41:44,Soanpapdi,Local,No,23,3,10.28,11.86
Maya's Pan Shop,2025-08-06,21:53:25,Mysorepak,Local,No,71,45,28.37,290.13
Amruta's Pan Shop,2025-07-23,02:57:26,Lighters,Local,Yes,99,59,36.21,336.8
Anamika's Pan Shop,2025-07-23,17:10:06,Chocolates,Domestic,Yes,6,1,22.97,4.07
Damini's Pan Shop,2025-07-25,23:01:57,Biscuits,Domestic,Yes,79,15,17.32,28.91
Ridhi's Pan Shop,2025-07-22,02:10:27,Peanuts,Local,No,32,10,56.45,193.82
Nathaniel's Pan Shop,2025-08-03,02:06:58,Jelly,Local,No,52,21,56.98,414.66
Ranveer's Pan Shop,2025-07-17,02:49:52,Mysorepak,Local,No,79,69,11.21,238.14
Ojasvi's Pan Shop,2025-07-31,01:00:12,Lighters,Local,Yes,29,19,33.85,203.74
Andrew's Pan Shop,2025-08-09,03:47:49,Match Boxes,Local,No,57,42,58.34,597.81
Ekbal's Pan Shop,2025-07-12,20:48:34,Chewing Gum,International,Yes,8,4,7.15,4.73
Mitali's Pan Shop,2025-08-03,10:39:18,Sweets,Local,No,53,39,52.9,400.8
Jasmit's Pan Shop,2025-07-16,05:48:36,Jelly,Local,No,56,38,11.65,143.64
Bakhshi's Pan Shop,2025-07-28,16:29:17,Cigarettes,International,Yes,38,11,42.54,159.72
Yochana's Pan Shop,2025-07-22,12:04:43,Sweets,Local,No,64,29,16.44,161.62
Isaac's Pan Shop,2025-07-24,08:33:16,Peanuts,Local,No,63,47,5.68,76.53
Kiaan's Pan Shop,2025-08-01,22:56:43,Drinks,International,Yes,93,87,15.99,392.59
Ranveer's Pan Shop,2025-07-17,04:28:17,Mysorepak,Local,No,36,22,24.21,195.05
Omya's Pan Shop,2025-07-22,16:59:50,Mysorepak,Local,No,7,4,57.03,48.87
Michael's Pan Shop,2025-08-06,11:54:39,Chips,Domestic,Yes,62,48,59.09,409.84
Abha's Pan Shop,2025-07-17,20:02:19,Drinks,International,Yes,5,5,16.47,17.4
Kritika's Pan Shop,2025-07-12,06:34:52,Chips,International,Yes,25,16,53.37,147.41
Jai's Pan Shop,2025-07-11,22:03:20,Sweets,Local,No,67,49,53.91,300.74
Luke's Pan Shop,2025-08-09,01:25:32,Match Boxes,Local,No,76,61,48.15,1042.57
Zarna's Pan Shop,2025-08-06,04:08:54,Biscuits,Domestic,Yes,31,28,49.49,500.77
Hemani's Pan Shop,2025-07-12,13:13:46,Mysorepak,Local,No,45,42,25.23,246.79
Damini's Pan Shop,2025-07-22,06:04:55,Lighters,Local,Yes,23,16,49.91,111.88
Quincy's Pan Shop,2025-07-26,15:19:15,Soanpapdi,Local,No,97,5,54.48,54.61
Falguni's Pan Shop,2025-08-04,04:03:51,Soda,International,Yes,40,6,15.06,13.36
Yagnesh's Pan Shop,2025-07-20,20:32:54,Chocolates,Domestic,Yes,90,55,31.76,584.89
Faras's Pan Shop,2025-07-30,07:34:40,Cigarettes,International,Yes,37,37,28.17,211.95
Kiaan's Pan Shop,2025-07-21,20:29:57,Soanpapdi,Local,No,14,5,2.31,3.91
Karan's Pan Shop,2025-07-16,12:17:46,Chips,International,Yes,13,9,9.48,12.93
Baljiwan's Pan Shop,2025-07-27,14:44:22,Drinks,Domestic,Yes,51,29,40.67,327.04
Isaiah's Pan Shop,2025-08-08,07:40:23,Drinks,Domestic,Yes,31,6,34.5,21.07
Isaac's Pan Shop,2025-08-09,13:37:29,Soanpapdi,Local,No,89,7,15.09,30.89
Jairaj's Pan Shop,2025-07-23,14:07:26,Jelly,Local,No,87,70,10.14,170.2
Zayan's Pan Shop,2025-08-07,12:18:45,Chips,International,Yes,95,79,16.21,336.31
Ekanta's Pan Shop,2025-07-11,10:18:52,Chewing Gum,International,Yes,76,4,40.59,55.14
Mahika's Pan Shop,2025-07-17,02:01:07,Lighters,Local,Yes,77,65,5.56,68.75
Aarnav's Pan Shop,2025-07-13,01:08:08,Drinks,Domestic,Yes,65,33,23.33,182.41
Triveni's Pan Shop,2025-07-26,06:39:51,Lighters,Local,Yes,75,15,35.41,95.13
Rohan's Pan Shop,2025-07-24,22:23:05,Chocolates,Domestic,Yes,50,12,45.22,87.84
Harrison's Pan Shop,2025-07-31,19:19:12,Chocolates,International,Yes,52,48,3.34,36.77
Triveni's Pan Shop,2025-07-16,15:16:54,Lighters,Local,Yes,45,24,15.7,100.04
Luke's Pan Shop,2025-07-20,20:52:17,Lighters,Local,Yes,38,8,25.06,76.78
Anmol's Pan Shop,2025-07-31,06:05:18,Jelly,Local,No,16,8,3.61,8.77
Pranav's Pan Shop,2025-07-15,18:35:42,Match Boxes,Local,No,97,54,15.99,295.22
Aradhana's Pan Shop,2025-07-15,05:12:00,Chips,Domestic,Yes,15,15,2.7,16.08
Isaac's Pan Shop,2025-07-12,03:39:23,Chips,International,Yes,66,16,17.82,44.4
Kiaan's Pan Shop,2025-08-01,16:11:04,Peanuts,Local,No,34,27,29.03,206.55
Viraj's Pan Shop,2025-07-19,09:17:42,Cigarettes,International,Yes,33,12,34.72,72.8
Ladli's Pan Shop,2025-08-06,12:32:15,Sweets,Local,No,85,3,55.35,43.01
Isaac's Pan Shop,2025-07-12,05:38:44,Chocolates,International,Yes,81,23,14.64,65.74
Daksha's Pan Shop,2025-07-27,19:10:26,Match Boxes,Local,No,29,2,2.44,0.53
Yamini's Pan Shop,2025-07-29,18:53:41,Biscuits,International,Yes,37,20,26.41,102.15
Zarna's Pan Shop,2025-07-19,06:17:47,Lighters,Local,Yes,35,27,37.98,351.77
Chaaya's Pan Shop,2025-08-01,11:20:36,Biscuits,Domestic,Yes,47,11,55.43,106.29
Manthan's Pan Shop,2025-08-01,15:08:59,Lighters,Local,Yes,13,12,17.71,84.89
Vyanjana's Pan Shop,2025-07-29,20:44:15,Cigarettes,International,Yes,12,5,44.77,67.64
Aradhana's Pan Shop,2025-07-18,12:45:59,Drinks,Domestic,Yes,14,6,11.14,13.14
Yashica's Pan Shop,2025-08-09,01:53:20,Lighters,Local,Yes,91,88,21.75,393.84
Faras's Pan Shop,2025-07-27,01:11:43,Lighters,Local,Yes,30,13,55.53,77.9
Sanaya's Pan Shop,2025-07-21,18:31:13,Peanuts,Local,No,80,37,58.87,269.6
Sudiksha's Pan Shop,2025-08-01,03:19:20,Cigarettes,Domestic,Yes,96,41,8.46,88.58
Osha's Pan Shop,2025-07-30,22:21:05,Soda,Domestic,Yes,32,27,10.14,37.6
Aarna's Pan Shop,2025-07-13,09:44:24,Soda,International,Yes,20,7,51.45,135.02
Jairaj's Pan Shop,2025-08-01,13:08:30,Soda,Domestic,Yes,43,25,56.84,182.13
Maya's Pan Shop,2025-07-25,00:57:54,Mysorepak,Local,No,78,70,58.11,582.3
Dipta's Pan Shop,2025-07-24,00:53:29,Jelly,Local,No,90,86,30.05,1024.56
Damini's Pan Shop,2025-07-13,00:00:41,Match Boxes,Local,No,75,54,59.2,784.38
Nandini's Pan Shop,2025-08-07,13:24:03,Chocolates,Domestic,Yes,6,6,47.74,75.1
Hemani's Pan Shop,2025-07-29,12:44:52,Soda,International,Yes,16,16,54.08,164.49
Udant's Pan Shop,2025-08-03,05:25:14,Biscuits,Domestic,Yes,85,27,38.85,112.5
Tanvi's Pan Shop,2025-07-14,02:47:50,Biscuits,International,Yes,87,8,15.25,38.99
Harini's Pan Shop,2025-07-14,18:49:17,Biscuits,International,Yes,57,32,27.33,328.73
Lipika's Pan Shop,2025-08-03,00:06:34,Drinks,International,Yes,94,43,8.55,145.09
Jagat's Pan Shop,2025-07-12,08:39:24,Lighters,Local,Yes,77,9,3.74,4.09
Onkar's Pan Shop,2025-08-07,17:36:14,Cigarettes,Domestic,Yes,54,1,35.73,6.06
Warhi's Pan Shop,2025-07-24,06:01:52,Mysorepak,Local,No,44,9,42.63,74.67
Manbir's Pan Shop,2025-07-25,10:36:58,Cigarettes,Domestic,Yes,7,1,24.56,5.36
Tanveer's Pan Shop,2025-07-27,00:05:59,Lighters,Local,Yes,43,12,50.56,114.63
Urvashi's Pan Shop,2025-08-01,18:18:02,Drinks,Domestic,Yes,40,36,2.77,22.62
Ojasvi's Pan Shop,2025-08-01,23:14:14,Soanpapdi,Local,No,78,17,40.65,125.33
Advika's Pan Shop,2025-07-31,07:48:52,Soda,International,Yes,16,14,20.48,111.88
Pranav's Pan Shop,2025-08-05,17:45:53,Mysorepak,Local,No,73,60,56.52,1209.64
Luke's Pan Shop,2025-08-01,03:09:39,Chewing Gum,Domestic,Yes,82,29,35.74,251.61
Manthan's Pan Shop,2025-08-07,07:15:46,Sweets,Local,No,64,27,5.08,54.58
Maanas's Pan Shop,2025-08-04,04:16:49,Biscuits,Domestic,Yes,93,42,11.3,135.03
Falan's Pan Shop,2025-08-09,05:10:32,Cigarettes,International,Yes,43,15,40.0,196.42
Hredhaan's Pan Shop,2025-08-03,22:54:07,Chewing Gum,Domestic,Yes,49,29,55.74,336.78
Isaiah's Pan Shop,2025-08-07,16:19:10,Chewing Gum,International,Yes,59,14,31.67,102.71
